"","gamma","mu_values","k_values","tau_squared_values","av_sigma_squared_true","I_squared","perc_HR.av","perc_LR.av","perc_REP.av","perc_sign.av","perc_HR_sign.av","perc_HR_nonsign.av","perc_LR_sign.av","perc_LR_nonsign.av","perc_REP_sign.av","perc_REP_nonsign.av","bias.unadj","cov.unadj","width.unadj","mse.unadj","bias.tau2.unadj.ML","bias.tau2.unadj.REML","bias.adj","cov.adj","width.adj","mse.adj","bias.tau2.adj.ML","bias.tau2.adj.REML"
"35",1.5,0.4,30,0.039,0.0400574233286835,0.493497613773314,0.14,0.0866666666666667,0.773333333333333,0.666666666666667,0,0.14,0.06,0.0266666666666667,0.606666666666667,0.166666666666667,0.0890299617463164,0.4,0.184548169533235,0.0084080213033636,-0.0310454949557536,-0.0290570823765602,0.0487566230326972,1,0.181718936229646,0.00288753385044125,-0.0275887443222555,-0.0245729971304082
"36",1.5,0.5,30,0.039,0.0400574233286835,0.493497613773314,0.0933333333333333,0.04,0.866666666666667,0.753333333333333,0,0.0933333333333333,0.04,0,0.713333333333333,0.153333333333333,0.0621744360848487,0.6,0.181298837608584,0.00541625421568697,-0.0259418013151001,-0.0240173864284425,0.0289445743130294,1,0.186046773883196,0.00152816410095341,-0.0200775394120963,-0.01659294550524
"37",1.5,0,5,0.36,0.0399091349079786,0.900225524995339,0.32,0.04,0.64,0.28,0,0.32,0,0.04,0.28,0.36,0.19531501155337,0.8,1.96534615915527,0.0851844322002359,0.0646966771261665,0.292424295637961,0.036476570553573,0.8,1.68811563385694,0.0720974176551813,0.0245649664675073,0.193034398555951
"38",1.5,0.1,5,0.36,0.0399091349079786,0.900225524995339,0.32,0.04,0.64,0.36,0,0.32,0,0.04,0.36,0.28,0.195360393100885,0.8,1.96534624648994,0.0851797110304784,0.0647338330344178,0.292424294081435,0.0119950202836952,0.8,1.72842137407872,0.0719205165187237,0.0364665128046095,0.225338587501858
"39",1.5,0.2,5,0.36,0.0399091349079786,0.900225524995339,0.32,0.04,0.64,0.36,0,0.32,0,0.04,0.36,0.28,0.239030003374135,0.8,1.80384494725717,0.12131472881385,0.00198678364214551,0.19824052115384,0.0295474499831669,0.8,1.68639929847966,0.0812063972280939,0.00643198808287578,0.215347582108795
"40",1.5,0.3,5,0.36,0.0399091349079786,0.900225524995339,0.24,0.12,0.64,0.44,0,0.24,0.04,0.08,0.4,0.24,0.182460491227366,0.8,1.89511941332233,0.156331113458738,0.0585247426322738,0.283225989369584,0.00972940607216226,0.8,1.95333404779904,0.0750095453658175,0.103272287012326,0.400837598047381
"41",1.5,0.4,5,0.36,0.0399091349079786,0.900225524995339,0.2,0.16,0.64,0.44,0,0.2,0.04,0.12,0.4,0.24,0.126954061300557,0.8,1.92074714691355,0.239811521803685,-0.0279590675639633,0.270187376471934,-0.0540685494931993,1,2.05962746517237,0.149635913116919,0.0429466999907858,0.450900858711833
"42",1.5,0.5,5,0.36,0.0399091349079786,0.900225524995339,0.12,0.12,0.76,0.56,0,0.12,0.04,0.08,0.52,0.24,0.0873213157383534,1,1.80174550490097,0.0833257810287859,0.0714574568459313,0.266753664337164,-0.00892450752582179,1,1.82505957887083,0.0573687980377491,0.102832440163269,0.325082470472558
"43",1.5,0,15,0.36,0.0400098348084411,0.899984906417545,0.44,0.213333333333333,0.346666666666667,0.293333333333333,0,0.44,0.146666666666667,0.0666666666666667,0.146666666666667,0.2,0.137609640471665,0.4,1.03231135705536,0.0873231748315284,-0.206268277975356,-0.133155726867626,0.00539614175921353,0.8,0.777402928975176,0.0780433799983005,-0.241747282273765,-0.227708911697377
"44",1.5,0.1,15,0.36,0.0400098348084411,0.899984906417545,0.44,0.213333333333333,0.346666666666667,0.373333333333333,0,0.44,0.133333333333333,0.08,0.24,0.106666666666667,0.303430528294465,0.4,0.889857681518944,0.122326554208856,-0.250912844177949,-0.202030976650607,0.0564514936318355,0.8,0.856549978632892,0.0327847212800715,-0.233760986263678,-0.0980225458538475
"45",1.5,0.2,15,0.36,0.0400098348084411,0.899984906417545,0.373333333333333,0.24,0.386666666666667,0.426666666666667,0,0.373333333333333,0.173333333333333,0.0666666666666667,0.253333333333333,0.133333333333333,0.174687389372735,0.4,1.05901270077999,0.0575994206012575,-0.190081267759578,-0.112927062180305,-0.0528744411827021,1,0.906196163152416,0.0500882920190142,-0.199207116282912,-0.149568283181813
"46",1.5,0.3,15,0.36,0.0400098348084411,0.899984906417545,0.346666666666667,0.16,0.493333333333333,0.493333333333333,0,0.346666666666667,0.0933333333333333,0.0666666666666667,0.4,0.0933333333333333,0.315010596514622,0.6,0.657327225307297,0.106109663556757,-0.248809619133185,-0.222323946977837,0.0312058535828668,1,0.792375613313976,0.0116293619509409,-0.170463957849249,0.0355591113093891
"47",1.5,0.4,15,0.36,0.0400098348084411,0.899984906417545,0.293333333333333,0.16,0.546666666666667,0.533333333333333,0,0.293333333333333,0.12,0.04,0.413333333333333,0.133333333333333,0.228693765201411,0.6,0.588870598264376,0.0529171976247847,-0.252108700445038,-0.232110782215185,0.00381637698312558,1,0.695683030970341,0.0114462512292556,-0.199074179195772,-0.0816962692724146
"48",1.5,0.5,15,0.36,0.0400098348084411,0.899984906417545,0.253333333333333,0.146666666666667,0.6,0.586666666666667,0,0.253333333333333,0.133333333333333,0.0133333333333333,0.453333333333333,0.146666666666667,0.216149025683778,0.8,0.671755933227703,0.0528281256815116,-0.208392903157268,-0.18012430168795,-0.0187912317361771,1,0.752811396756893,0.0112664752521611,-0.12490136555727,-0.00261515169494869
"49",1.5,0,30,0.36,0.0400574233286835,0.899883881236547,0.513333333333333,0.22,0.266666666666667,0.333333333333333,0,0.513333333333333,0.166666666666667,0.0533333333333333,0.166666666666667,0.1,0.4786972358331,0,0.469821297320761,0.242130608305139,-0.311928227556284,-0.299187750845514,0.151551133789936,0.8,0.574987440395887,0.0268596095412012,-0.264287188711947,-0.0330119814555264
"50",1.5,0.1,30,0.36,0.0400574233286835,0.899883881236547,0.44,0.2,0.36,0.406666666666667,0,0.44,0.14,0.06,0.266666666666667,0.0933333333333333,0.49457200295556,0,0.48335401390647,0.256204565908789,-0.263407232396169,-0.248825663248138,0.14521970678927,1,0.552646513805268,0.0254141664266292,-0.180815383361406,-0.02593661858133
"51",1.5,0.2,30,0.36,0.0400574233286835,0.899883881236547,0.353333333333333,0.2,0.446666666666667,0.486666666666667,0,0.353333333333333,0.146666666666667,0.0533333333333333,0.34,0.106666666666667,0.405919228595061,0,0.419415434458318,0.17723983372868,-0.266678729914507,-0.255192392052546,0.136004815056974,0.8,0.466130968865951,0.0210985748372988,-0.195301898392704,-0.102452683137474
"52",1.5,0.3,30,0.36,0.0400574233286835,0.899883881236547,0.306666666666667,0.146666666666667,0.546666666666667,0.546666666666667,0,0.306666666666667,0.106666666666667,0.04,0.44,0.106666666666667,0.407902617734328,0,0.411132493124156,0.1768094815661,-0.252995744371646,-0.241781789949224,0.130921894947636,0.8,0.485391855340376,0.0221554264951381,-0.149619644960595,-0.0320893320787651
"53",1.5,0.4,30,0.36,0.0400574233286835,0.899883881236547,0.273333333333333,0.113333333333333,0.613333333333333,0.626666666666667,0,0.273333333333333,0.1,0.0133333333333333,0.526666666666667,0.0866666666666667,0.312990529831822,0.2,0.367663381485321,0.103223333798485,-0.252698314710605,-0.243876933254534,0.112919591898425,0.8,0.401331170669085,0.0205819485181933,-0.187237046084848,-0.144936343822893
"54",1.5,0.5,30,0.36,0.0400574233286835,0.899883881236547,0.226666666666667,0.113333333333333,0.66,0.673333333333333,0,0.226666666666667,0.106666666666667,0.00666666666666667,0.566666666666667,0.0933333333333333,0.280780927635472,0,0.390275307227988,0.0829045440093074,-0.22556504755583,-0.215450704452787,0.0856523454493085,0.8,0.432573692976847,0.0124429330707977,-0.145536365349542,-0.0972656009095935
